05:53:52:214 [ALWAYS]	GUDE Logging Started
05:53:52:215 [INFO]	SqliteResumeCache::SqliteResumeCache basedirectory is null/empty
05:53:52:215 [ERROR]	SqliteResumeCache::CreateSqliteResumeCache creating resume cache pointer failure
05:53:52:215 [ERROR]	Initialize resume cache pointer failure
05:53:52:215 [INFO]	gude policy POLICY_USER limit (2,2,1) chunk 2097152, chunking (UL 0 DL 1), resXfer 1, adapt 0, NSURL 0, timeout 86400 
05:53:52:215 [INFO]	Initialized -- gude-lib version: v0.12.1 app: gude
05:54:00:221 [WARN]	Ignoring attempt to reinit logging to \gude at level 4 retaining 3 days of logs
05:54:00:221 [INFO]	SqliteResumeCache::SqliteResumeCache basedirectory is null/empty
05:54:00:221 [ERROR]	SqliteResumeCache::CreateSqliteResumeCache creating resume cache pointer failure
05:54:00:222 [ERROR]	Initialize resume cache pointer failure
05:54:00:222 [INFO]	gude policy POLICY_USER limit (4,4,1) chunk 2097152, chunking (UL 0 DL 1), resXfer 1, adapt 0, NSURL 1, timeout 86400 
05:54:00:222 [INFO]	Initialized -- gude-lib version: v0.12.1 app: gude
